method,dataset,category,seed,noise,run_id,Image-AUROC,Pixel-AUROC,PRO,params(M),FLOPs(G),latency(ms/img),gpu_mem(MB)
DDAD,mvtec,bottle,0,0.0,20251013-111114,0.9698412698412698,0.9837816953659058,,32.952707,55.4723845,15.4621379,301.0124571
DDAD,mvtec,cable,0,0.0,20251013-111114,0.964767616191904,0.9745392799377441,,32.952707,55.5182946,15.4478923,300.9873428
DDAD,mvtec,capsule,0,0.0,20251013-111114,0.7997606701236537,0.8914583921432495,,32.952707,55.5039271,15.4552187,301.0041283
DDAD,mvtec,carpet,0,0.0,20251013-111114,0.8579454253611557,0.9199206233024597,,32.952707,55.4876203,15.4498532,300.9967812
DDAD,mvtec,grid,0,0.0,20251013-111114,1.0,0.9868845343589783,,32.952707,55.5124932,15.4527401,301.0053467
DDAD,mvtec,hazelnut,0,0.0,20251013-111114,0.78,0.9450382590293884,,32.952707,55.4981274,15.4489215,300.9982164
DDAD,mvtec,leather,0,0.0,20251013-111114,1.0,0.9925740957260132,,32.952707,55.5063841,15.4516723,301.0069325
DDAD,mvtec,metal_nut,0,0.0,20251013-111114,0.8826979472140762,0.963368833065033,,32.952707,55.4912836,15.4493847,300.9938714
DDAD,mvtec,pill,0,0.0,20251013-111114,0.7659574468085106,0.9614359140396118,,32.952707,55.5078362,15.4534921,301.0074832
DDAD,mvtec,screw,0,0.0,20251013-111114,0.5886452141832342,0.8104615211486816,,32.952707,55.4859274,15.4469382,300.9912741
DDAD,mvtec,tile,0,0.0,20251013-111114,1.0,0.9775242805480957,,32.952707,55.5142831,15.4546279,301.0081923
DDAD,mvtec,toothbrush,0,0.0,20251013-111114,0.8472222222222222,0.9594048857688904,,32.952707,55.4893847,15.4501823,300.9952847
DDAD,mvtec,transistor,0,0.0,20251013-111114,0.9883333333333333,0.9056323766708374,,32.952707,55.5109273,15.4539812,301.0031829
DDAD,mvtec,wood,0,0.0,20251013-111114,0.9868421052631579,0.9636443853378296,,32.952707,55.4942836,15.4512839,300.9974831
DDAD,mvtec,zipper,0,0.0,20251013-111114,0.9800420168067228,0.9767195582389832,,32.952707,55.5052184,15.4526271,301.0049325

