method,dataset,category,seed,noise,run_id,Image-AUROC,Pixel-AUROC,PRO,params(M),FLOPs(G),latency(ms/img),gpu_mem(MB)
DDAD,mvtec,bottle,0,0.1,20251014-104617,0.9698412698412698,0.9837816953659058,,32.952707,N/A,N/A,N/A
DDAD,mvtec,cable,0,0.1,20251014-104617,0.964767616191904,0.9745392799377441,,32.952707,N/A,N/A,N/A
DDAD,mvtec,capsule,0,0.1,20251014-104617,0.7997606701236537,0.8914583921432495,,32.952707,N/A,N/A,N/A
DDAD,mvtec,carpet,0,0.1,20251014-104617,0.8579454253611557,0.9199206233024597,,32.952707,N/A,N/A,N/A
DDAD,mvtec,grid,0,0.1,20251014-104617,1.0,0.9868845343589783,,32.952707,N/A,N/A,N/A
DDAD,mvtec,hazelnut,0,0.1,20251014-104617,0.78,0.9450382590293884,,32.952707,N/A,N/A,N/A
DDAD,mvtec,leather,0,0.1,20251014-104617,1.0,0.9925740957260132,,32.952707,N/A,N/A,N/A
DDAD,mvtec,metal_nut,0,0.1,20251014-104617,0.8826979472140762,0.963368833065033,,32.952707,N/A,N/A,N/A
DDAD,mvtec,pill,0,0.1,20251014-104617,0.7659574468085106,0.9614359140396118,,32.952707,N/A,N/A,N/A
DDAD,mvtec,screw,0,0.1,20251014-104617,0.5886452141832342,0.8104615211486816,,32.952707,N/A,N/A,N/A
DDAD,mvtec,tile,0,0.1,20251014-104617,1.0,0.9789352416992188,,32.952707,N/A,N/A,N/A
DDAD,mvtec,toothbrush,0,0.1,20251014-104617,0.7777777777777778,0.9645344614982605,,32.952707,N/A,N/A,N/A
DDAD,mvtec,transistor,0,0.1,20251014-104617,0.975,0.9077155590057373,,32.952707,N/A,N/A,N/A
DDAD,mvtec,wood,0,0.1,20251014-104617,0.9850877192982456,0.9585667848587036,,32.952707,N/A,N/A,N/A
DDAD,mvtec,zipper,0,0.1,20251014-104617,0.9863445378151261,0.977238655090332,,32.952707,N/A,N/A,N/A
