method,dataset,category,seed,noise,run_id,Image-AUROC,Pixel-AUROC,params(M),FLOPs(G),latency(ms/img),gpu_mem(MB)
DDAD,visa,candle,0,0.0,20251015-105657,23.4,70.3,32.952707,N/A,N/A,N/A
DDAD,visa,capsules,0,0.0,20251015-105808,48.7,68.5,32.952707,N/A,N/A,N/A
DDAD,visa,cashew,0,0.0,20251015-105909,40.6,65.6,32.952707,N/A,N/A,N/A
DDAD,visa,chewinggum,0,0.0,20251015-110008,47.6,74.3,32.952707,N/A,N/A,N/A
DDAD,visa,fryum,0,0.0,20251015-110107,62.4,83.8,32.952707,N/A,N/A,N/A
DDAD,visa,macaroni1,0,0.0,20251015-110255,49.3,88.9,32.952707,N/A,N/A,N/A
DDAD,visa,macaroni2,0,0.0,20251015-110442,42.8,88.2,32.952707,N/A,N/A,N/A
DDAD,visa,pcb1,0,0.0,20251015-110631,55.9,65.6,32.952707,N/A,N/A,N/A
DDAD,visa,pcb2,0,0.0,20251015-110822,39.1,63.1,32.952707,N/A,N/A,N/A
DDAD,visa,pcb3,0,0.0,20251015-111009,43.6,78.4,32.952707,N/A,N/A,N/A
DDAD,visa,pcb4,0,0.0,20251015-111159,55.4,71.4,32.952707,N/A,N/A,N/A
DDAD,visa,pipe_fryum,0,0.0,20251015-111258,58.6,79.4,32.952707,N/A,N/A,N/A
