method,dataset,category,seed,noise,run_id,Image-AUROC,Pixel-AUROC,PRO,params(M),FLOPs(G),latency(ms/img),gpu_mem(MB)
DinomalyV2,mvtec,bottle,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,39.025306701660156,709.0849609375
DinomalyV2,mvtec,cable,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,43.25246810913086,713.7861328125
DinomalyV2,mvtec,capsule,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,49.1182804107666,710.1953125
DinomalyV2,mvtec,carpet,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,66.64824485778809,712.7861328125
DinomalyV2,mvtec,grid,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,63.16375732421875,711.1953125
DinomalyV2,mvtec,hazelnut,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,47.47271537780762,711.7861328125
DinomalyV2,mvtec,leather,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,60.93716621398926,712.1953125
DinomalyV2,mvtec,metal_nut,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,60.837507247924805,711.7392578125
DinomalyV2,mvtec,pill,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,47.68252372741699,712.6953125
DinomalyV2,mvtec,screw,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,58.45332145690918,711.2392578125
DinomalyV2,mvtec,tile,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,66.4360523223877,713.1953125
DinomalyV2,mvtec,toothbrush,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,61.36894226074219,710.2392578125
DinomalyV2,mvtec,transistor,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,59.192657470703125,713.1953125
DinomalyV2,mvtec,wood,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,47.61505126953125,709.7861328125
DinomalyV2,mvtec,zipper,0,0.0,20251015-161616,0.9962,0.9831,0.9455,148.00896,153.63926544,47.525882720947266,713.9453125
