method,dataset,category,seed,noise,Image-AUROC,Image-AP,Pixel-AUROC,Pixel-AP,PRO
GLASS,visa,candle,0,0.0,38.33,8.49,,,
GLASS,visa,capsules,0,0.0,47.75,14.84,,,
GLASS,visa,cashew,0,0.0,75.0,48.73,,,
GLASS,visa,chewinggum,0,0.0,72.26,42.28,,,
GLASS,visa,fryum,0,0.0,67.09,36.91,,,
GLASS,visa,macaroni1,0,0.0,45.52,8.57,,,
GLASS,visa,macaroni2,0,0.0,44.18,7.95,,,
GLASS,visa,pcb1,0,0.0,45.99,11.1,,,
GLASS,visa,pcb2,0,0.0,55.55,11.46,,,
GLASS,visa,pcb3,0,0.0,45.9,9.11,,,
GLASS,visa,pcb4,0,0.0,42.25,8.1,,,
GLASS,visa,pipe_fryum,0,0.0,71.08,48.1,,,
